Ticker,Price,Probability,Predicted_Return,Signal,Signal_Type,Paper_Status,Real_Order,Quantity,Position_Value
BALAT.IS,78.94999694824219,0.4479117748980602,0.005042041154916543,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,78.94999694824219
TUPRS.IS,388.5,0.5003071742745369,0.007850111238871742,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,388.5
AHGAZ.IS,39.70000076293945,0.5272631853462448,0.007986206470262136,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,39.70000076293945
OZATD.IS,4600.0,0.4896451364976742,0.25,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4600.0
ANELE.IS,204.0,0.6140952170525926,0.022393749281864536,BUY,AI_CURRENT,PAPER_ONLY,NO,1,204.0
BOBET.IS,21.959999084472656,0.47532554052575743,0.006294155221159443,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,21.959999084472656
TGSAS.IS,233.1999969482422,0.4353079159972709,0.005426479139355546,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,233.1999969482422
HALKB.IS,54.349998474121094,0.4880960745747108,0.026829111768078402,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,54.349998474121094
BAHKM.IS,168.6999969482422,0.4495216308022011,0.004373725370622763,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,168.6999969482422
NETAS.IS,103.0999984741211,0.46874587878880053,0.008927822968386397,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,103.0999984741211
AVOD.IS,4.710000038146973,0.40442372657358644,0.0011057425477474779,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.710000038146973
DEVA.IS,92.44999694824219,0.5268859236071384,0.00918258714802887,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,92.44999694824219
TRHOL.IS,2560.0,0.6019101957046551,0.018080465048165448,BUY,AI_CURRENT,PAPER_ONLY,NO,1,2560.0
KRPLS.IS,11.300000190734863,0.47491936780084837,0.00737592728999026,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,11.300000190734863
OFSYM.IS,70.0,0.4844950690130607,0.008243568144760967,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,70.0
IEYHO.IS,214.60000610351562,0.6052993677012983,0.01246634789443622,BUY,AI_CURRENT,PAPER_ONLY,NO,1,214.60000610351562
RYGYO.IS,49.41999816894531,0.5367194003234264,0.011698266894359554,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,49.41999816894531
ATATP.IS,311.0,0.4284429618294512,0.004164887868470855,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,311.0
AKFIS.IS,18.18000030517578,0.4665472838129262,0.00465959069649256,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,18.18000030517578
DSTKF.IS,2390.0,0.47519674539257284,0.004065238396534869,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,2390.0
SKYMD.IS,17.1299991607666,0.48892247746550976,0.011096548075765295,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,17.1299991607666
ENERY.IS,11.039999961853027,0.5204863715101515,0.008253752122596216,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,11.039999961853027
KRDMA.IS,56.20000076293945,0.4647091174593282,0.006867913230931685,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,56.20000076293945
MARTI.IS,2.009999990463257,0.43917501261464453,-0.007506744315062994,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,2.009999990463257
KARSN.IS,12.680000305175781,0.43751737660156786,-0.0005110610432964187,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,12.680000305175781
VESTL.IS,26.459999084472656,0.47002184127416724,0.007229999516509375,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,26.459999084472656
MANAS.IS,37.220001220703125,0.4880308508698158,0.006324521937681745,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,37.220001220703125
KZGYO.IS,26.280000686645508,0.4429453901901414,0.008041351387162537,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,26.280000686645508
CRFSA.IS,280.5,0.452862938723262,0.0031430246123113413,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,280.5
VBTYZ.IS,39.0,0.49556578668455314,0.012085843981954135,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,39.0
BORSK.IS,6.800000190734863,0.4910579187622177,0.005644571554275759,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,6.800000190734863
CATES.IS,64.9000015258789,0.4509374998997328,-0.004314495917014169,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,64.9000015258789
SELEC.IS,324.0,0.5809008126457433,0.020977159669061676,BUY,AI_CURRENT,PAPER_ONLY,NO,1,324.0
